id,questionTitle,category,image,subCategory,answerItems
伊勢神宮内宮正殿,これは何？,日本古代建築史,,日本古代建築史,"[{""label"":""建物名"",""value"":""伊勢神宮内宮正殿""},{""label"":""造り"",""value"":""神社建築の神明(しんめい)造りです。""},{""label"":""特徴"",""value"":""正面入口を軒側に設ける「平入り」の形式とした建物です。""}]"
出雲大社本殿,これは何？,日本古代建築史,,日本古代建築史,"[{""label"":""建物名"",""value"":""出雲大社本殿""}]"
賀茂別雷（かもわけいかづち）神社本殿・権殿,これは何？,日本古代建築史,,日本古代建築史,[]
規則10条の3 1項,法43条2項の省令で定める避難及び通行の安全上必要な基準に適合する道路。,法規（道路）,,,"[{""label"":""条文"",""value"":""規則10条の3 1項""}]"
規則10条の3 3項,法43条2項の省令で定める利用者が少数である建築物の基準。,法規（道路）,,,"[{""label"":""条文"",""value"":""規則10条の3 3項""}]"
法2条1項一四号,大規模の修繕の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""法2条1項一四号""}]"
法2条1項五号,主要構造部の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""法2条1項五号""}]"
法2条1項三四号,プログラムの定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""法2条1項三四号""}]"
法2条1項九号号の一,不燃材料の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""法2条1項九号号の一""}]"
法2条1項九号号の三,準耐火建築物の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""法2条1項九号号の三""}]"
法2条1項九号号の二,耐火建築物の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""法2条1項九号号の二""}]"
法2条1項九号号の二,防火設備の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""法2条1項九号号の二""}]"
法3条,この法律、これに基づく命令、条例の規定を適用しない建築物の規定。,法規（null）,,,"[{""label"":""条文"",""value"":""法3条""}]"
法3条2項,既存不適格の規定,法規（null）,,,"[{""label"":""条文"",""value"":""法3条2項""}]"
法6条1項,検査済証の交付を受ける義務の規定と受けなければならない建築の規定。,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""法6条1項""}]"
法7条1項,完了検査の義務の規定と受けなければならない建築物の規定。,法規（null）,,,"[{""label"":""条文"",""value"":""法7条1項""}]"
法12条1項,建築設備、防火設備の定期調査の義務の規定と受けなければならない建築物の規定。,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""法12条1項""}]"
法15条,,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""法15条""}]"
法20条1項,"建築物の階数,高さと木造(W造),鉄骨造(S造),鉄筋コンクリート造(RC造),鉄骨鉄筋コンクリート造(SRC造)によって,建築物を分類し、構造計算を指定。",法規（構造方法、構造計算）,,,"[{""label"":""条文"",""value"":""法20条1項""}]"
法20条2項,一の建築物であっても政令で定められた構造方法であれば別の建築物と見なせる。,法規（構造方法、構造計算）,,,"[{""label"":""条文"",""value"":""法20条2項""}]"
法21条,,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法21条""}]"
法23条,準防火性能の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""法23条""}]"
法25条,,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法25条""}]"
法26条,,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法26条""}]"
法27条1項,建物の用途・規模により避難時間内は倒壊、延焼を防止する構造にしなければならない特殊建築物を指定,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法27条1項""}]"
法27条2項,建物の用途・規模により耐火構造としなければならない特殊建築物を指定,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法27条2項""}]"
法27条3項,建物の用途・規模により耐火構造か準耐火構造としなければならない特殊建築物を指定,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法27条3項""}]"
法28条1項,採光が必要な居室、および必要量が記載。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""法28条1項""}]"
法28条2項,必要な換気量が記載。,法規（換気）,,,"[{""label"":""条文"",""value"":""法28条2項""}]"
法28条3項,換気が必要な部屋、及び必要な換気方法が記載。,法規（換気）,,,"[{""label"":""条文"",""value"":""法28条3項""}]"
法28条4項,採光及び換気で、2室を1室と見做す場合を記載。,法規（換気）,,,"[{""label"":""条文"",""value"":""法28条4項""}]"
法28条4項,採光及び換気で、2室を1室と見做す場合を記載。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""法28条4項""}]"
法29条,地階における住宅等の居室が防湿の措置として必要な技術的基準があることを記載。,法規（換気）,,,"[{""label"":""条文"",""value"":""法29条""}]"
法33条,避雷針の設置基準,法規（避雷針、便所、その他設備）,,,"[{""label"":""条文"",""value"":""法33条""}]"
法39条,災害危険区域の指定。,法規（null）,,,"[{""label"":""条文"",""value"":""法39条""}]"
法42条1項五号,政令で定めるく基準に適合し、特定行政庁から位置の指定を受けたものは道路。,法規（道路）,,,"[{""label"":""条文"",""value"":""法42条1項五号""}]"
法42条2項,2項道路の規定。,法規（道路）,,,"[{""label"":""条文"",""value"":""法42条2項""}]"
法42条,道路の定義。,法規（道路）,,,"[{""label"":""条文"",""value"":""法42条""}]"
法43条1項,接道義務の規定。,法規（道路）,,,"[{""label"":""条文"",""value"":""法43条1項""}]"
法43条2項,接道義務を適用しない建築物の規定。,法規（道路）,,,"[{""label"":""条文"",""value"":""法43条2項""}]"
